title,description,published date,url,publisher
Apple becomes world's first company to hit US$3trn market value - Proactive Investors UK,Apple becomes world's first company to hit US$3trn market value  Proactive Investors UK,2022-01-04,https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5wcm9hY3RpdmVpbnZlc3RvcnMuY28udWsvY29tcGFuaWVzL25ld3MvOTcwMzIzL2FwcGxlLWJlY29tZXMtd29ybGQtcy1maXJzdC1jb21wYW55LXRvLWhpdC11cy0zdHJuLW1hcmtldC12YWx1ZS05NzAzMjMuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.proactiveinvestors.co.uk', 'title': 'Proactive Investors UK'}"
Apple Stock is Expected to Continue Growing Faster Than U.S. Economy • iPhone in Canada Blog - iPhone in Canada,Apple Stock is Expected to Continue Growing Faster Than U.S. Economy • iPhone in Canada Blog  iPhone in Canada,2022-01-04,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LmlwaG9uZWluY2FuYWRhLmNhLzIwMjIvMDEvMDQvYXBwbGUtc3RvY2stdG8tY29udGludWUtZ3Jvd2luZy0yMDIyL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.iphoneincanada.ca', 'title': 'iPhone in Canada'}"
Tim Cook Net Worth: Did He Get Richer After Apple Becomes $3 Trillion Company? - iTech Post,Tim Cook Net Worth: Did He Get Richer After Apple Becomes $3 Trillion Company?  iTech Post,2022-01-04,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3Lml0ZWNocG9zdC5jb20vYXJ0aWNsZXMvMTA4NTc3LzIwMjIwMTA0L3RpbS1jb29rLW5ldC13b3J0aC1yaWNoZXItYXBwbGUtYmVjb21lcy0zLXRyaWxsaW9uLWNvbXBhbnkuaHRt0gF1aHR0cHM6Ly93d3cuaXRlY2hwb3N0LmNvbS9hbXAvYXJ0aWNsZXMvMTA4NTc3LzIwMjIwMTA0L3RpbS1jb29rLW5ldC13b3J0aC1yaWNoZXItYXBwbGUtYmVjb21lcy0zLXRyaWxsaW9uLWNvbXBhbnkuaHRt?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.itechpost.com', 'title': 'iTech Post'}"
What iPod inventor Tony Fadell says he learned from Steve Jobs - Yahoo Finance,What iPod inventor Tony Fadell says he learned from Steve Jobs  Yahoo Finance,2022-01-06,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93aGF0LWktcG9kLWludmVudG9yLXRvbnktZmFkZWxsLXNheXMtaGUtbGVhcm5lZC1mcm9tLXN0ZXZlLWpvYnMtMTQ0NDQ4NzQ1Lmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
Poolsuite NFT: Is This The First NFT To Get Apple Wallet Integration? - Apple (NASDAQ:AAPL) - Benzinga,Poolsuite NFT: Is This The First NFT To Get Apple Wallet Integration? - Apple (NASDAQ:AAPL)  Benzinga,2022-01-05,https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy5iZW56aW5nYS5jb20vbWFya2V0cy9jcnlwdG9jdXJyZW5jeS8yMi8wMS8yNDkxMjgzNy9wb29sc3VpdGUtbmZ0LWlzLXRoaXMtdGhlLWZpcnN0LW5mdC10by1nZXQtYXBwbGUtd2FsbGV0LWludGVncmF0aW9u0gEtaHR0cHM6Ly93d3cuYmVuemluZ2EuY29tL2FtcC9jb250ZW50LzI0OTEyODM3?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.benzinga.com', 'title': 'Benzinga'}"
This Apple Co-Founder Sold His Stake For $800: How Much Would It Be Worth Now? - Apple (NASDAQ:AAPL) - Benzinga,This Apple Co-Founder Sold His Stake For $800: How Much Would It Be Worth Now? - Apple (NASDAQ:AAPL)  Benzinga,2022-01-07,https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5iZW56aW5nYS5jb20vZ2VuZXJhbC9tb3ZlcnMtc2hha2Vycy8yMi8wMS8yNDkwNjk3MS90aGlzLWFwcGxlLWNvLWZvdW5kZXItc29sZC1oaXMtc3Rha2UtZm9yLTgwMC1ob3ctbXVjaC13b3VsZC1pdC1iZS13b3J0aC1ub3fSAS1odHRwczovL3d3dy5iZW56aW5nYS5jb20vYW1wL2NvbnRlbnQvMjQ5MDY5NzE?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.benzinga.com', 'title': 'Benzinga'}"
"Apple: Strong Demand Bodes Well for 2022, Says Top Analyst - Yahoo Finance","Apple: Strong Demand Bodes Well for 2022, Says Top Analyst  Yahoo Finance",2022-01-07,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1zdHJvbmctZGVtYW5kLWJvZGVzLXdlbGwtMTgxNzQzMjE1Lmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
Apple's Tim Cook Made $100 Million. He's Not Close to Being the Wealthiest CEO. - Barron's,Apple's Tim Cook Made $100 Million. He's Not Close to Being the Wealthiest CEO.  Barron's,2022-01-07,https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FydGljbGVzL2FwcGxlLWNlby10aW0tY29vay1wYXktNTE2NDE1NjEwNDHSAUdodHRwczovL3d3dy5iYXJyb25zLmNvbS9hbXAvYXJ0aWNsZXMvYXBwbGUtY2VvLXRpbS1jb29rLXBheS01MTY0MTU2MTA0MQ?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.barrons.com', 'title': ""Barron's""}"
Tim Cook Is Officially a Billionaire After a 500% Pay Raise in 2021 - Observer,Tim Cook Is Officially a Billionaire After a 500% Pay Raise in 2021  Observer,2022-01-07,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vb2JzZXJ2ZXIuY29tLzIwMjIvMDEvYXBwbGUtY2VvLXRpbS1jb29rLTIwMjEtcGF5LXJhaXNlLW5ldC13b3J0aC_SAU1odHRwczovL29ic2VydmVyLmNvbS8yMDIyLzAxL2FwcGxlLWNlby10aW0tY29vay0yMDIxLXBheS1yYWlzZS1uZXQtd29ydGgvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://observer.com', 'title': 'Observer'}"
Folding phones a passing fad? Apple is right to wonder - 9to5Mac,Folding phones a passing fad? Apple is right to wonder  9to5Mac,2022-01-07,https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vOXRvNW1hYy5jb20vMjAyMi8wMS8wNy9mb2xkaW5nLXBob25lcy1hLXBhc3NpbmctZmFkL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://9to5mac.com', 'title': '9to5Mac'}"
