,Date,Open,High,Low,Close,Adj Close,Volume,Symbol
0,2024-02-26,142.13999938964844,142.44000244140625,137.38999938964844,137.57000732421875,137.57000732421875,53641800,GOOGL
1,2024-02-27,138.02000427246094,139.25,137.08999633789062,138.8800048828125,138.8800048828125,33099200,GOOGL
2,2024-02-28,137.89999389648438,138.00999450683594,135.41000366210938,136.3800048828125,136.3800048828125,37328600,GOOGL
3,2024-02-29,137.27999877929688,138.86000061035156,136.39999389648438,138.4600067138672,138.4600067138672,42133000,GOOGL
4,2024-03-01,138.42999267578125,138.8699951171875,136.9199981689453,137.13999938964844,137.13999938964844,31119500,GOOGL
5,2024-03-04,135.66000366210938,135.66000366210938,131.91000366210938,133.35000610351562,133.35000610351562,55999400,GOOGL
6,2024-03-05,131.8800048828125,133.24000549316406,130.6699981689453,132.6699981689453,132.6699981689453,40194800,GOOGL
7,2024-03-06,133.1199951171875,133.5800018310547,130.85000610351562,131.39999389648438,131.39999389648438,35318600,GOOGL
8,2024-03-07,132.7899932861328,134.94000244140625,131.61000061035156,134.3800048828125,134.3800048828125,37738200,GOOGL
9,2024-03-08,134.2100067138672,138.08999633789062,134.0,135.41000366210938,135.41000366210938,39343100,GOOGL
10,2024-03-11,136.1300048828125,139.10000610351562,136.1300048828125,137.6699981689453,137.6699981689453,32437800,GOOGL
11,2024-03-12,137.02999877929688,139.3800048828125,137.02999877929688,138.5,138.5,27563400,GOOGL
12,2024-03-13,139.0,141.08999633789062,138.99000549316406,139.7899932861328,139.7899932861328,23347200,GOOGL
13,2024-03-14,141.19000244140625,143.58999633789062,140.4600067138672,143.10000610351562,143.10000610351562,42753400,GOOGL
14,2024-03-15,142.5,143.17999267578125,140.02999877929688,141.17999267578125,141.17999267578125,49460600,GOOGL
15,2024-03-18,148.61000061035156,152.14999389648438,147.1699981689453,147.67999267578125,147.67999267578125,69273700,GOOGL
16,2024-03-19,148.16000366210938,148.7899932861328,146.0800018310547,147.02999877929688,147.02999877929688,24070400,GOOGL
17,2024-03-20,148.0,148.86000061035156,146.74000549316406,148.74000549316406,148.74000549316406,21311500,GOOGL
18,2024-03-21,149.47000122070312,150.3699951171875,146.89999389648438,147.60000610351562,147.60000610351562,24755600,GOOGL
19,2024-03-22,149.1199951171875,151.5800018310547,148.97999572753906,150.77000427246094,150.77000427246094,29175700,GOOGL
20,2024-03-25,149.94000244140625,150.3800048828125,147.82000732421875,150.07000732421875,150.07000732421875,19229300,GOOGL
0,2024-02-26,175.6999969482422,176.3699951171875,174.25999450683594,174.72999572753906,174.72999572753906,44368600,AMZN
1,2024-02-27,174.0800018310547,174.6199951171875,172.86000061035156,173.5399932861328,173.5399932861328,31141700,AMZN
2,2024-02-28,172.44000244140625,174.0500030517578,172.27000427246094,173.16000366210938,173.16000366210938,28180500,AMZN
